2019-11-22 11:23:26 startup archives unpack
2019-11-22 11:23:26 install krb5-locales:all <none> 1.17-3
2019-11-22 11:23:26 status half-installed krb5-locales:all 1.17-3
2019-11-22 11:23:26 status unpacked krb5-locales:all 1.17-3
2019-11-22 11:23:26 install openssl:amd64 <none> 1.1.1d-0+deb10u2
2019-11-22 11:23:26 status half-installed openssl:amd64 1.1.1d-0+deb10u2
2019-11-22 11:23:26 status unpacked openssl:amd64 1.1.1d-0+deb10u2
2019-11-22 11:23:26 install ca-certificates:all <none> 20190110
2019-11-22 11:23:26 status half-installed ca-certificates:all 20190110
2019-11-22 11:23:26 status unpacked ca-certificates:all 20190110
2019-11-22 11:23:27 install libkeyutils1:amd64 <none> 1.6-6
2019-11-22 11:23:27 status triggers-pending libc-bin:amd64 2.28-10
2019-11-22 11:23:27 status half-installed libkeyutils1:amd64 1.6-6
2019-11-22 11:23:27 status unpacked libkeyutils1:amd64 1.6-6
2019-11-22 11:23:27 install libkrb5support0:amd64 <none> 1.17-3
2019-11-22 11:23:27 status half-installed libkrb5support0:amd64 1.17-3
2019-11-22 11:23:27 status unpacked libkrb5support0:amd64 1.17-3
2019-11-22 11:23:27 install libk5crypto3:amd64 <none> 1.17-3
2019-11-22 11:23:27 status half-installed libk5crypto3:amd64 1.17-3
2019-11-22 11:23:27 status unpacked libk5crypto3:amd64 1.17-3
2019-11-22 11:23:27 install libkrb5-3:amd64 <none> 1.17-3
2019-11-22 11:23:27 status half-installed libkrb5-3:amd64 1.17-3
2019-11-22 11:23:27 status unpacked libkrb5-3:amd64 1.17-3
2019-11-22 11:23:27 install libgssapi-krb5-2:amd64 <none> 1.17-3
2019-11-22 11:23:27 status half-installed libgssapi-krb5-2:amd64 1.17-3
2019-11-22 11:23:27 status unpacked libgssapi-krb5-2:amd64 1.17-3
2019-11-22 11:23:27 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-1
2019-11-22 11:23:27 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-1
2019-11-22 11:23:27 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1
2019-11-22 11:23:27 install libsasl2-2:amd64 <none> 2.1.27+dfsg-1
2019-11-22 11:23:27 status half-installed libsasl2-2:amd64 2.1.27+dfsg-1
2019-11-22 11:23:27 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1
2019-11-22 11:23:27 install libldap-common:all <none> 2.4.47+dfsg-3+deb10u1
2019-11-22 11:23:27 status half-installed libldap-common:all 2.4.47+dfsg-3+deb10u1
2019-11-22 11:23:28 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u1
2019-11-22 11:23:28 install libldap-2.4-2:amd64 <none> 2.4.47+dfsg-3+deb10u1
2019-11-22 11:23:28 status half-installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1
2019-11-22 11:23:28 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1
2019-11-22 11:23:28 install libnghttp2-14:amd64 <none> 1.36.0-2+deb10u1
2019-11-22 11:23:28 status half-installed libnghttp2-14:amd64 1.36.0-2+deb10u1
2019-11-22 11:23:28 status unpacked libnghttp2-14:amd64 1.36.0-2+deb10u1
2019-11-22 11:23:28 install libpsl5:amd64 <none> 0.20.2-2
